    Conc.  %SD   /Cr    Metabolite                                         
    0.426  94% 8.0E-02 Ala                                                 
    1.983  34%   0.370 Asp                                                 
    5.361   5%   1.000 Cr                                                  
 5.78E-02 830% 1.1E-02 GABA                                                
    0.963  36%   0.180 Glc                                                 
    4.902  21%   0.914 Gln                                                 
    8.032  10%   1.498 Glu                                                 
    5.891   6%   1.099 Ins                                                 
    0.000 999%   0.000 Lac                                                 
    6.422   7%   1.198 NAA                                                 
    1.039  59%   0.194 NAAG                                                
 8.70E-02 129% 1.6E-02 Scyllo                                              
    0.647  72%   0.121 Tau                                                 
    3.915  35%   0.730 PE                                                  
    0.000 999%   0.000 Pgc                                                 
    0.982   8%   0.183 GPC                                                 
    0.000 999%   0.000 PCh                                                 
    2.030  20%   0.379 GSH                                                 
    1.757  26%   0.328 Cit                                                 
    2.498  16%   0.466 -CrCH2                                              
    0.982   8%   0.183 GPC+PCh                                             
    7.461   6%   1.392 NAA+NAAG                                            
   12.933   7%   2.413 Glu+Gln                                             
    0.000 999%   0.000 Lip13a                                              
    1.106  27%   0.206 Lip13b                                              
    0.296  63% 5.5E-02 Lip09                                               
    4.209  18%   0.785 MM09                                                
    0.152  83% 2.8E-02 Lip20                                               
    7.667  23%   1.430 MM20                                                
    0.648  90%   0.121 MM12                                                
    3.320  33%   0.619 MM14                                                
    3.497  28%   0.652 MM17                                                
    1.106  27%   0.206 Lip13a+Lip13b                                       
    5.074  27%   0.947 MM14+Lip13a+Lip13b+MM12                             
    4.505  16%   0.840 MM09+Lip09                                          
    7.819  22%   1.459 MM20+Lip20                                          
